0.91	1.09979	0.000268027	264.395	1.29137	1.10463	0.00597014	0.320945	0.00616059	-0.315287	0.00581157	0.317951	0.0042346	5.68804	0.0307418
0.92	1.08733	0.000265703	264.404	1.33235	1.0956	0.00400624	0.392514	0.00598108	-0.40745	0.00513523	0.401112	0.00394157	5.73491	0.0209706
0.93	1.07641	0.00026138	264.31	0.620134	1.06161	0.00354024	0.506559	0.0132273	-0.540786	0.00923778	0.529565	0.00806689	5.91854	0.0197371
0.94	1.06382	0.000261957	264.465	2.59672	1.05908	0.0119119	0.712661	0.0146724	-0.700134	0.0152979	0.706659	0.0105984	5.9327	0.0667277
0.95	1.05274	0.000244807	264.223	1.36879	1.05012	0.00150848	1.1657	0.00660314	-1.15264	0.0160579	1.16381	0.00868127	5.98328	0.00859487
0.961	1.04138	0.000256629	264.28	1.44727	1.04571	0.000766862	2.07954	0.0248569	-2.11036	0.0126728	2.104	0.0139505	6.00852	0.00440628
0.962	1.03963	0.000288992	264.453	3.18354	1.04139	0.000806914	2.12839	0.0144106	-2.16484	0.0483147	2.13137	0.025209	6.03348	0.00467502
0.963	1.03901	0.000247436	264.434	1.37689	1.03842	0.00070956	2.18082	0.013717	-2.17495	0.0138173	2.17791	0.0097349	6.05074	0.00413454
0.964	1.03836	0.000256229	264.091	1.40179	1.03923	0.000682306	2.20347	0.0144852	-2.20343	0.0216685	2.20346	0.0130321	6.04602	0.00396952
0.9645	1.03738	0.000257137	264.328	3.11506	1.03939	0.000701667	2.23627	0.0339481	-2.21706	0.0205431	2.22221	0.0198399	6.04508	0.0040809
0.965	1.03672	0.000257456	264.206	1.09663	1.03641	0.000656826	2.25455	0.0125325	-2.26834	0.0136919	2.26084	0.00928078	6.06247	0.00384211
0.966	1.03541	0.000261752	264.139	2.51722	1.04212	0.000687944	2.22184	0.0139832	-2.20397	0.0177164	2.21498	0.011285	6.02922	0.00398012
0.967	1.03434	0.000259654	264.451	10.4261	1.03564	0.000766932	2.14886	0.0113034	-2.14541	0.179389	2.14885	0.0898722	6.06698	0.00449284
0.968	1.03463	0.000255032	264.12	1.18257	1.04262	0.000722428	2.11821	0.0229721	-2.06485	0.0246567	2.09342	0.0168498	6.02637	0.00417567
0.969	1.03298	0.000252795	264.24	3.88802	1.0385	0.00117954	1.95804	0.0180481	-2.01716	0.161003	1.95877	0.0810057	6.05025	0.00687195
0.975	1.02664	0.000266692	264.132	1.41555	1.02895	0.00193259	1.43778	0.00888226	-1.44192	0.0219276	1.43837	0.0118291	6.10641	0.0114692
0.98	1.01994	0.00025395	263.993	9.45803	1.01732	0.00174939	1.11711	0.00796308	-1.12362	0.0115875	1.1192	0.00702996	6.17624	0.0106208
0.99	1.01112	0.000247596	264.052	9.67588	1.02639	0.00204649	0.758418	0.00931555	-0.76219	0.0643036	0.758496	0.0324874	6.12162	0.0122057
1	1.0008	0.000240576	264.23	2.16083	1.03888	0.00277815	0.507829	0.0040629	-0.570142	0.00910469	0.518177	0.00498504	6.04802	0.0161734
1.1	0.909988	0.000211541	263.62	8.46143	0.905451	inf	0.14809	0.00611182	-0.174699	0.0149515	0.1519	0.00807624	6.93929	inf
